"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Armenia","ARM","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.092","70.242","70.411","70.561","70.576","70.463","70.244","70.014","69.761","69.53","69.432","69.363","69.246","69.147","69.075","69.019","68.983","68.989","68.818","69.631","69.725","69.765","69.795","69.986","70.215","70.518","70.9","71.183","71.429","73.142","72.624","73.644","72.769","72.792","72.745",
"American Samoa","ASM","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.578","73.047","72.887","72.647","73.249","74.016","74.075","73.641","73.557","73.381","73.834","74.089","74.192","74.529","74.404","75.434","75.836","76.223","76.534","76.406","76.458","76.667","76.449","76.424","76.332","76.964","76.969","77.472","78.053","78.518","77.886","79.132","80.34","80.627","80.807",
"Austria","AUT","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.668","68.273","69.286","69.62","70.936","71.323","70.927","70.723","71.129","71.379","71.154","70.457","71.461","71.51","70.494","71.274","72.209","73.304","73.725","74.143","74.195","74.328","74.898","75.291","75.182","75.31","76.04","76.185","76.647","76.889","76.493","77.14","77.652","77.976","78.071",
"Azerbaijan","AZE","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.738","76.012","77.969","80.327","82.538","83.961","84.07","83.76","83.142","82.726","82.003","79.893","77.885","75.85","73.553","71.941","70.202","66.844","65.504","65.55","65.299","65.574","66.002","66.426","67.484","68.26","69.598","70.21","70.791","70.815","73.286","67.952","70.302","70.173","69.942",
"Burundi","BDI","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.92","90.384","89.824","89.118","88.372","87.713","86.887","85.969","85.039","84.235","83.41","82.583","81.738","80.869","79.985","79.039","78.027","78.281","78.506","78.811","79.1","79.268","79.429","79.592","79.715","80.308","80.79","80.989","80.95","80.639","79.019","79.918","79.963","79.7","79.382",
"Belgium","BEL","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.77","60.118","60.63","60.897","61.787","62.213","62.369","62.742","63.274","64.566","65.225","63.546","64.023","64.185","65.219","66.744","66.506","67.09","67.111","66.935","67.689","66.738","66.938","67.536","67.734","67.596","67.62","67.987","68.585","69.018","68.558","69.675","70.513","70.576","70.771",
"Benin","BEN","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.864","72.863","72.853","72.812","72.774","72.746","72.713","72.676","72.639","72.601","72.562","72.523","72.485","72.489","72.493","72.498","72.505","72.514","72.522","72.529","72.534","72.54","72.995","73.445","73.89","74.329","74.764","75.195","75.622","76.046","75.735","76.901","76.776","76.598","76.698",
"Burkina Faso","BFA","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.587","85.65","84.96","84.269","83.546","82.826","82.111","81.354","80.583","79.796","78.965","78.139","77.287","76.432","75.546","74.658","73.741","72.941","72.129","71.305","70.468","69.616","68.745","67.849","66.93","64.646","62.36","60.069","57.773","55.465","52.713","50.881","48.613","48.566","48.306",
"Bangladesh","BGD","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.325","57.512","57.705","57.896","58.094","58.295","58.495","58.689","58.864","59.018","59.149","59.229","59.258","59.266","59.264","59.259","59.243","59.476","59.712","59.951","60.193","59.773","59.349","58.918","58.541","58.166","57.794","60.504","61.18","61.817","62.238","63.66","64.577","64.544","64.794",
"Bulgaria","BGR","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.3","63.474","63.658","63.25","62.933","62.628","62.306","62.121","61.804","61.729","61.466","63.534","62.86","61.632","62.785","62.093","64.46","66.386","67.979","67.334","66.867","66.122","67.315","68.537","68.856","69.518","68.73","71.457","71.511","73.283","72.296","71.894","73.659","73.783","73.724",
"Bahrain","BHR","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.853","67.926","68.065","67.914","67.773","67.685","67.674","67.753","67.937","68.232","68.631","68.817","68.723","68.681","68.823","69.176","69.751","70.527","71.445","72.419","73.068","72.552","72.999","73.047","72.764","72.953","73.55","73.947","73.832","73.445","71.556","71.244","72.559","73.154","73.133",
"Bahamas, The","BHS","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.519","76.23","76.924","77.599","78.246","78.471","78.689","78.809","79.029","79.304","79.464","79.576","79.685","79.655","79.682","79.781","79.842","79.844","79.722","79.57","79.621","79.66","79.795","79.767","79.899","80.018","80.096","80.312","80.568","80.686","75.997","77.87","80.149","80.45","80.41",
"Bosnia and Herzegovina","BIH","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.226","59.25","59.118","58.75","58.321","58.021","57.967","58.053","58.195","58.415","58.692","58.982","59.26","59.515","59.774","60.017","60.231","60.417","60.624","60.657","60.746","60.813","60.778","60.801","60.774","60.877","60.975","61.092","61.206","61.259","61.053","61.426","61.76","62.678","62.902",
"Belarus","BLR","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.554","68.621","68.877","69.081","69.455","69.901","69.866","69.64","69.676","69.832","70.583","71.31","71.881","72.366","72.75","73.087","73.456","73.778","74.074","74.396","74.713","75.098","75.578","76.072","76.58","77.063","77.501","77.947","78.177","78.36","78.521","78.887","79.393","79.324","79.317",
"Belize","BLZ","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.329","57.7","58.064","58.134","57.972","58.92","59.897","60.889","60.727","61.366","61.643","61.904","62.148","62.39","62.634","62.879","63.124","63.366","63.609","63.853","64.083","64.301","64.53","64.769","65.742","66.106","66.471","66.101","69.07","71.915","66.886","64.578","64.814","65.014","65.063",
"Bermuda","BMU","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.018","70.363","70.328","70.592","70.917","71.246","71.542","71.9","71.778","71.652","71.524","71.391","71.243","71.08","70.917","70.753","70.588","70.426","70.266","70.109","69.956","69.805","69.655","69.502","69.346","69.19","69.038","70.18","73.408","76.018","74.657","79.614","80.165","80.28","80.658",
"Brazil","BRA","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.755","67.852","68.235","68.602","68.951","69.284","67.64","68.525","68.715","69.5","69.657","69.803","70.876","70.869","71.501","72.298","71.954","71.731","71.699","72.128","71.02","69.893","69.52","69.608","69.534","69.982","70.248","70.669","70.814","71.417","67.016","69.505","70.743","70.266","70.325",
"Barbados","BRB","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.57","78.071","77.503","78.268","79.015","80.236","79.645","79.806","79.926","79.984","80.022","80.022","79.98","79.917","80.582","80.293","80.002","79.745","79.536","79.338","79.109","78.848","77.801","78.379","76.888","75.727","76.296","76.754","76.251","76.168","75.29","75.759","75.477","75.87","75.793",
"Brunei Darussalam","BRN","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.34","68.309","68.758","69.163","69.516","69.814","70.069","70.3","70.521","70.733","70.922","71.074","70.936","70.779","70.618","70.459","70.287","70.016","69.707","69.503","69.415","69.395","69.346","69.258","69.15","69.033","68.941","68.905","70.041","68.636","68.171","68.319","68.596","68.728","68.731",
"Bhutan","BTN","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.004","71.923","71.85","71.788","71.742","71.708","71.691","71.691","71.713","71.66","71.531","71.434","71.372","71.353","71.383","71.479","71.626","71.783","71.925","72.041","70.318","69.308","66.627","67.401","64.51","65.613","65.401","65.156","64.883","68.603","70.089","71.233","65.719","67.738","67.732",
"Botswana","BWA","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.568","64.266","64.029","63.805","63.483","63.057","62.614","62.121","61.764","60.852","59.862","60.117","60.338","60.562","60.827","61.102","61.362","62.403","63.412","64.388","61.446","62.192","62.832","63.291","63.667","63.994","64.315","64.668","65.055","65.469","63.789","66.179","66.94","70.631","70.972",
"Central African Republic","CAF","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.909","73","73.041","73.074","73.099","73.138","73.14","73.138","73.119","73.082","73.017","72.998","72.963","72.888","72.868","72.838","72.855","72.897","72.919","72.983","73.06","73.168","73.349","73.442","73.684","73.844","73.846","73.856","73.864","73.853","73.145","73.018","73.759","73.717","73.712",
"Canada","CAN","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.695","76.25","75.357","75.112","74.946","74.709","74.611","74.909","75.264","75.85","76.189","76.365","77.442","78.208","78.179","77.782","77.984","78.385","78.525","78.229","78.027","78.034","78.205","78.436","78.095","78.281","78.288","78.702","78.738","79.224","77.724","79.507","79.901","80.297","80.508",
"Central Europe and the Baltics","CEB","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.6848707036201","65.6798733986598","65.5493932634194","65.2241656495679","64.8973049126438","64.4758435941954","64.2671057859762","63.989095936062","63.8846630008762","63.7965790435386","63.9762230650455","64.2625009557962","63.8659428677746","63.7195662681773","63.6978217686208","63.9254790316293","63.7883026650615","63.9589385250273","64.4699693589017","64.0205048977035","65.0368196654322","65.1427352581908","65.8776290302548","66.4566636699284","67.4491760133004","68.1537265437926","68.7387666017909","69.8336011138103","70.386406159523","70.9592208500048","71.2040473944458","72.4028540600871","73.341167959969","73.9120459170004","73.9480099700029",
"Switzerland","CHE","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.405","76.434","76.755","77.169","76.107","76.508","80.013","80.217","81.004","80.873","80.467","81.177","81.273","81.302","80.933","80.823","81.231","81.62","82.324","82.492","81.316","82.039","82.281","82.398","82.895","83.287","83.867","83.953","84.181","84.292","84.088","83.686","83.141","83.998","84.021",
"Channel Islands","CHI","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.72","68.924","69.125","69.124","69.23","69.552","70.008","70.325","70.632","71.126","71.407","71.518","71.716","71.808","71.881","72.125","72.219","72.33","72.342","72.258","72.155","71.713","71.878","71.964","72.108","72.24","72.403","72.571","72.651","72.753","71.99","72.843","72.934","72.459","72.422",
"Chile","CHL","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.716","56.589","57.872","58.633","59.206","60.242","61.023","61.119","61.291","61.446","60.777","59.976","59.561","60.119","60.585","60.914","62.139","62.711","64.121","64.009","66.105","67.482","67.6","67.752","68.141","68.307","68.404","69.43","69.901","69.792","63.254","64.904","67.9","69.496","69.695",
"China","CHN","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.038","83.593","83.144","82.708","82.262","81.805","81.33","80.834","80.346","79.852","79.328","79.121","78.889","78.643","78.38","78.104","77.849","77.609","77.363","77.12","76.894","76.91","76.583","76.298","76.179","76.085","75.948","75.726","75.507","75.4","74.262","75.862","74.7","75.03","74.698",
"Cote d'Ivoire","CIV","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.037","65.959","65.871","65.782","65.696","65.634","65.578","65.536","65.486","65.703","65.92","66.135","66.347","66.556","66.76","66.961","67.158","67.352","67.55","67.759","67.974","68.199","68.435","68.342","68.224","68.077","67.933","67.364","66.784","66.19","66.358","67.718","68.083","67.835","67.784",
"Cameroon","CMR","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.287","83.247","83.204","83.128","83.087","83.041","82.985","82.917","82.853","82.8","82.747","82.691","82.63","82.58","82.55","82.511","82.486","82.461","80.771","78.963","77.037","75.997","74.93","73.835","72.712","71.759","70.828","69.908","68.985","68.046","66.498","65.862","66.259","66.193","65.769",
"Congo, Dem. Rep.","COD","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.904","72.876","72.841","72.781","72.632","72.591","72.808","73.014","73.077","73.042","73.014","73","73.01","73.037","73.061","73.071","72.178","71.267","70.338","69.392","68.427","67.444","66.448","66.466","66.49","66.506","66.478","66.451","66.474","66.512","63.601","66.242","66.085","65.916","65.888",
"Congo, Rep.","COG","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.914","69.848","69.789","69.707","69.617","69.585","69.552","69.563","69.573","69.477","69.284","69.106","69.107","69.055","68.956","68.869","68.785","68.677","68.676","68.645","68.622","68.681","68.802","68.913","69.029","69.105","69.118","69.107","69.084","69.051","67.743","68.093","68.833","68.882","68.846",
"Colombia","COL","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.224","69.248","69.513","69.929","70.393","70.792","70.843","71.058","70.953","70.282","70.464","70.506","69.461","70.376","69.682","68.354","67.733","67.117","67.497","70.388","70.537","71.097","71.822","71.129","70.979","71.172","70.67","70.388","69.757","68.992","68.244","69.517","68.279","69.087","69.161",
"Comoros","COM","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.37","42.336","42.437","42.567","42.624","42.686","42.692","42.683","42.615","42.494","42.4","42.302","42.227","42.132","41.956","42.312","42.677","43.045","43.412","43.776","44.139","44.502","44.867","45.25","45.653","46.642","47.626","48.543","49.411","50.282","50.791","51.843","52.367","52.258","52.565",
"Cabo Verde","CPV","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.685","63.437","63.197","62.962","62.73","62.496","62.261","62.023","61.777","61.522","61.26","60.998","60.739","60.48","60.215","59.939","59.65","59.348","59.031","58.699","62.159","62.231","62.327","62.444","62.585","62.752","62.946","63.161","59.477","61.779","59.289","59.971","62.492","62.329","62.429",
"Costa Rica","CRI","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.102","59.268","58.711","59.67","60.23","61.27","59.249","61.382","63.172","63.059","62.553","63.985","63.678","64.109","62.91","65.594","64.975","65.964","65.39","65.337","64.059","65.226","68.84","68.418","69.233","67.897","65.028","65.373","67.866","70.152","66.853","68.377","68.588","63.926","63.962",
"Caribbean small states","CSS","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.3403258710089","63.5715007410664","63.9179498056732","64.1224325337706","64.6052113552166","65.0735885190545","65.3369595382613","65.4071318579956","65.4232358746703","65.3792553049649","65.3886898345934","65.4527503872707","65.5218589912089","66.139881610594","66.8052839725509","67.3445547304653","67.5252238136403","67.4549128589148","67.5219070351416","67.2958279482647","66.9641232790509","66.7810143764243","67.3049106937972","67.5638001777646","67.7334254158363","67.5947845919284","67.4863927179595","67.4786720479651","67.7410403935024","67.2168669890254","64.3170637315758","64.8214466692517","65.6069879746771","65.7518445443927","65.7372378090866",
"Cuba","CUB","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.066","58.88","58.67","58.329","58.597","58.948","59.519","59.908","60.148","60.556","60.889","61.069","61.135","61.236","61.374","61.717","62.112","62.384","62.6","64.164","63.667","63.928","64.232","64.571","64.828","65.17","65.284","65.359","65.367","65.223","61.847","62.217","63.866","63.662","63.5",
"Curacao","CUW","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.706","68.122","67.991","68.16","68.287","68.342","68.314","68.208","68.045","67.864","67.711","69.441","69.335","70.544","71.041","70.98","71.238","71.815","71.533","71.674","72.297","72.292","72.967","73.379","74.444","74.14","73.809","74.699","75.952","76.865","76.712","77.563","79.052","79.761","79.879",
"Czechia","CZE","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.013","71.918","71.981","72.03","72.394","72.36","72.159","72.133","72.137","72.185","71.522","71.041","70.769","70.371","70.098","70.385","70.301","69.816","69.623","70.051","70.155","70.531","71.581","72.848","73.476","73.95","74.907","75.76","76.431","76.561","76.198","76.497","76.951","77.299","77.215",
"Germany","DEU","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.046","71.937","71.351","70.819","71.18","70.814","70.612","70.964","71.069","71.527","71.438","71.646","71.861","72.368","72.351","73.891","75.304","75.917","76.068","76.415","76.607","77.022","77.15","77.605","77.752","77.575","77.781","78.178","78.511","79.208","78.535","78.655","79.466","79.861","79.966",
"Djibouti","DJI","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.991","36.923","36.859","36.774","36.687","36.59","36.459","36.21","35.912","35.697","35.54","35.395","35.266","35.231","35.251","35.236","35.148","35.016","34.878","34.744","34.622","34.502","34.385","34.263","34.124","33.963","33.783","33.588","33.405","33.232","32.476","32.666","33.382","33.555","33.555",
"Dominica","DMA","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
